DataType,Size,Algorithm,Random_ms,Sorted_ms,Reverse_ms,Half_ms,Nearly_ms,Est
float32,5000000,"Selection Sort",10086350.0000,7888475.0000,9466575.0000,9540375.0000,8140275.0000,1
float32,5000000,"Shell Sort",26012.1136,51.8215,43071.9485,15097.2188,3988.9072,0
float32,5000000,"Quick Sort",434.3799,56.1469,92.3907,381.4582,147.6599,0
float32,5000000,"Merge Sort",1215.5999,601.3042,640.4738,914.9821,844.0538,0
float32,5000000,"Heap Sort",1020.1536,577.9662,573.3517,846.2353,715.1329,0
float32,5000000,"Tim Sort",832.4655,253.3319,361.9035,559.5552,496.4634,0
float32,5000000,"Radix Sort",117.9649,100.6610,99.6635,109.7345,100.8974,0
float32,5000000,"std::sort",526.7251,157.5894,128.7579,460.5157,236.5733,0
float32,5000000,"Parallel Sort",104.4899,32.6391,32.7734,90.8561,69.6090,0
float32,10000000,"Insertion Sort",20176400.0000,13800.0000,40184500.0000,15105700.0000,4642500.0000,1
float32,10000000,"Selection Sort",40345400.0000,31553900.0000,37866300.0000,38161500.0000,32561100.0000,1
float32,10000000,"Shell Sort",117912.4739,102.7160,218220.8438,103631.8599,24502.4463,0
float32,10000000,"Quick Sort",913.0449,122.7423,193.5274,779.4270,312.3797,0
float32,10000000,"Merge Sort",2501.3381,1195.4932,1322.1421,1887.3344,1746.8354,0
float32,10000000,"Heap Sort",2504.1828,1208.8837,1191.5789,1955.2563,1518.7409,0
float32,10000000,"Tim Sort",1740.9215,532.1224,760.8514,1167.7338,1034.4381,0
float32,10000000,"Radix Sort",231.4458,197.8064,199.9112,216.0403,200.5750,0
float32,10000000,"std::sort",1076.0710,329.8832,280.7057,976.0811,485.1726,0
float32,10000000,"Parallel Sort",200.6254,58.9216,61.3267,194.5275,144.7232,0
